SA-TEMP,RA-TEMP,MA-TEMP,SA-HUMD,RA-HUMD,E_SF,SA-CFM,RA-CFM,E_ccoil,OAD-TEMP,OA-CFM,Y
71.938,73.127,71.528,78.477,50.582,0.034,2.248,2.228,0,73.325,2.237,F1
55.04,72.391,74.286,90.789,49.685,1.353,2079.328,1963.555,17.949,81.489,388.396,F1
55.04,72.391,75.453,89.611,49.068,1.659,2282.203,2112.291,21.054,87.934,437.253,F1
55.578,74.179,73.119,90.228,49.685,0.519,884.709,1195.65,6.015,72.036,21.781,F1
71.938,73.443,71.315,77.355,50.161,0.034,2.248,0.462,0,73.218,1.936,F1
55.794,70.709,71.315,89.667,54.898,0.521,847.369,1170.68,6.465,71.714,60.411,F1
55.148,72.391,74.392,90.48,49.769,1.389,2104.516,1965.279,18.344,82.241,386.657,F1
55.04,72.601,74.074,91.013,49.909,1.085,1832.039,1793.939,15.41,78.803,322.035,F1
71.723,73.127,70.785,76.261,50.694,0.033,2.248,2.228,0,73.325,1.978,F1
55.255,71.655,73.862,91.967,51.422,0.895,1531.534,1624.272,12.237,84.711,238.586,F1
66.987,73.443,66.966,68.071,51.647,0.034,2.248,2.228,0,77.085,1.974,F1
55.148,73.337,74.392,91.238,49.18,0.982,1703.224,1706.065,14.488,78.481,290.929,F1
72.046,73.443,71.528,77.691,50.133,0.033,2.248,2.228,0,73.218,2.08,F1
55.04,73.758,74.604,90.817,48.704,0.898,1561.778,1619.395,13.679,77.622,243.177,F1
54.825,72.286,75.029,89.667,49.488,1.532,2200.683,2055.76,19.432,86.215,412.416,F1
55.255,74.915,74.817,90.172,47.751,0.606,1120.192,1338.286,8.689,75.044,36.426,F1
71.938,73.443,71.315,78.028,50.161,0.034,2.248,2.228,0,73.218,1.779,F1
62.79,73.443,66.753,75.924,46.125,0.034,2.248,0.462,0,80.2,2.064,F1
54.932,72.601,73.968,90.929,49.741,1.11,1866.558,1817.371,15.54,78.803,330.86,F1
72.046,73.232,71.422,77.972,50.217,0.034,2.248,2.228,0,73.325,0.707,F1
55.686,71.55,73.756,91.911,51.815,0.917,1587.329,1645.442,12.402,85.141,246.86,F1
55.148,72.707,74.392,90.929,49.797,1.183,1932.62,1876.384,16.529,80.415,350.263,F1
70.862,73.337,69.3,58.564,53.889,0.034,2.248,2.228,0,74.292,1.912,F1
71.723,73.232,70.679,76.738,50.694,0.034,2.248,2.228,0,73.433,0.693,F1
72.046,73.022,71.422,77.607,50.413,0.034,2.248,2.228,0,73.218,1.69,F1
55.04,73.022,74.286,91.125,49.404,1.021,1764.976,1752.329,14.889,78.696,304.585,F1
55.471,72.917,75.771,90.424,49.629,1.49,2178.688,2024.251,19.777,87.719,407.388,F1
70.97,73.022,69.512,57.694,53.552,0.034,2.248,0.462,0,73.862,2.139,F1
55.04,72.496,75.665,89.19,48.199,1.749,2324.847,2169.511,21.293,88.363,446.657,F1
55.363,74.915,75.135,90.901,47.555,0.676,1232.256,1396.696,10.053,77.192,131.204,F1
71.938,73.337,71.103,77.158,50.161,0.034,2.248,2.228,0,73.218,1.16,F1
65.696,73.127,66.753,70.511,50.554,0.034,2.248,2.228,0,78.266,2.587,F1
71.831,73.337,70.891,76.878,50.245,0.033,2.248,2.228,0,73.325,0.357,F1
55.363,73.863,74.71,90.845,48.788,0.852,1499.816,1593.444,13.278,77.944,221.018,F1
71.293,73.127,69.724,56.684,52.628,0.035,2.248,2.228,0,73.647,1.244,F1
55.686,72.917,75.135,91.294,50.021,1.182,1927.652,1861.149,17.002,87.504,346.559,F1
69.57,73.337,68.133,62.238,53.917,0.034,2.248,2.228,0,75.259,2.139,F1
71.938,73.022,70.785,76.597,50.862,0.034,2.248,2.228,0,73.433,1.343,F1
54.287,72.496,75.135,89.695,47.639,1.531,2188.835,2054.004,19.602,85.893,409.816,F1
71.615,73.232,70.573,74.999,50.778,0.034,2.248,2.228,0,73.325,0.855,F1
54.502,69.973,70.785,88.854,55.655,0.522,877.508,1175.36,6.321,70.962,65.554,F1
54.825,72.286,74.923,89.667,49.348,1.545,2204.07,2075.117,19.14,85.463,412.391,F1
71.185,73.232,69.618,57.189,52.74,0.035,2.248,2.228,0,73.862,1.666,F1
54.61,70.709,73.65,89.555,51.899,1.401,2077.651,1977.364,18.66,83.852,384.043,F1
64.404,73.232,66.647,73.036,49.096,0.034,2.248,3.993,0,79.233,3.59,F1
58.054,72.286,73.65,79.57,57.28,1.037,1820.558,1758.967,18.709,76.011,305.821,F1
54.394,69.973,70.785,89.274,55.542,0.517,877.508,1178.481,5.947,70.747,40.848,F1
55.04,72.707,74.074,91.322,49.713,1.073,1823.837,1778.926,15.105,78.911,325.21,F1
54.394,72.391,75.135,90.06,47.891,1.534,2175.307,2057.517,19.538,86.108,408.523,F1
71.938,73.443,71.209,77.411,50.077,0.034,2.248,2.228,0,73.218,0.35,F1
56.547,72.812,72.27,83.581,42.482,0.034,2.248,12.81,0,84.174,10.581,F1
55.04,72.496,75.347,89.751,49.516,1.537,2215.931,2066.309,19.643,86.537,418.108,F1
67.848,73.232,67.284,66.585,52.88,0.034,2.248,2.228,0,76.762,2.652,F1
54.932,72.601,75.771,89.19,47.807,1.766,2360.763,2185.732,21.211,88.256,455.464,F1
67.633,73.232,67.178,66.781,52.684,0.034,2.248,2.228,0,76.87,2.125,F1
55.04,70.499,71.103,92.472,53.02,0.54,868.879,1181.602,4.576,72.573,51.699,F1
71.615,73.443,70.467,74.129,50.946,0.034,2.248,2.228,0,73.325,2.083,F1
55.363,72.391,75.241,89.667,49.601,1.642,2280.5,2114.069,20.461,87.611,431.118,F1
71.4,73.022,70.254,61.116,52.375,0.034,2.248,2.228,0,73.54,0.427,F1
55.148,75.02,74.71,90.34,47.442,0.602,1087.25,1317.829,8.192,73.97,12.731,F1
70.97,73.127,69.3,58.059,53.524,0.034,2.248,2.228,0,73.862,1.236,F1
71.508,73.232,70.467,73.372,51.338,0.034,2.248,2.228,0,73.433,2.042,F1
55.04,72.286,74.286,90.593,49.713,1.333,2050.845,1948.065,17.881,81.274,380.638,F1
54.717,70.078,70.785,88.489,55.739,0.51,840.219,1176.92,6.212,70.962,61.137,F1
71.077,73.127,69.406,57.975,53.468,0.034,2.248,2.228,0,73.97,1.382,F1
55.148,73.337,74.498,91.097,49.18,0.958,1685.423,1697.84,14.507,78.481,287.065,F1
70.862,73.337,69.194,58.564,53.693,0.034,2.248,2.228,0,74.292,2.139,F1
55.148,72.181,74.604,90.48,49.769,1.49,2182.069,2025.997,19.341,83.744,411.896,F1
54.932,72.707,75.771,89.583,47.891,1.73,2326.555,2169.511,21.398,88.686,447.976,F1
70.647,73.127,69.087,59.096,54.225,0.035,2.248,2.228,0,74.399,1.215,F1
70.539,73.337,68.875,59.545,54.113,0.035,2.248,2.228,0,74.399,0.755,F1
71.723,73.022,70.679,75.812,50.918,0.034,2.248,2.228,0,73.325,0.35,F1
66.449,73.548,66.753,69.025,50.974,0.034,2.248,2.228,0,77.622,2.287,F1
70.862,73.337,69.194,58.536,54.085,0.034,2.248,2.228,0,74.292,0.41,F1
71.938,73.443,71.315,77.355,50.133,0.034,2.248,2.228,0,73.325,0.355,F1
54.932,72.812,74.074,90.929,49.713,1.14,1861.62,1810.666,15.662,78.803,328.536,F1
54.932,72.601,75.665,89.583,48.676,1.662,2285.61,2121.186,20.794,87.826,444.833,F1
70.647,73.232,68.981,59.209,54.001,0.034,2.248,2.228,0,74.292,1.686,F1
54.825,72.181,75.135,89.751,49.096,1.666,2265.18,2112.291,20.824,87.182,432.682,F1
70.862,73.232,69.3,58.171,52.88,0.034,2.248,2.228,0,73.97,1.764,F1
54.932,72.601,75.771,89.19,47.807,1.784,2357.339,2191.153,21.351,88.471,452.251,F1
55.148,72.286,74.498,90.368,49.741,1.484,2170.238,2019.02,19.06,82.67,412.573,F1
70.647,73.232,68.875,59.349,54.085,0.034,2.248,2.228,0,74.399,2.077,F1
71.831,73.127,70.997,76.261,50.582,0.034,2.248,0.462,0,73.218,2.035,F1
72.046,73.022,71.422,77.944,50.441,0.034,1.126,2.228,0,73.218,0.839,F1
71.723,73.022,70.679,75.588,51.086,0.034,2.248,2.228,0,73.433,1.706,F1
71.077,72.917,69.512,57.526,53.468,0.034,2.248,2.228,0,73.755,0.362,F1
71.831,73.232,70.361,73.877,51.282,0.034,2.248,2.228,0,73.647,0.941,F1
54.932,72.391,74.074,91.097,49.965,1.143,1881.387,1819.048,15.978,79.77,339.897,F1
72.046,73.127,71.315,77.635,50.61,0.034,2.248,2.228,0,73.325,1.237,F1
54.287,70.499,71.315,88.349,54.393,0.504,868.879,1194.089,6.606,71.499,48.9,F1
55.148,74.073,74.71,90.789,48.451,0.828,1443.032,1549.858,12.628,77.622,211.747,F1
55.04,72.286,74.392,90.34,49.741,1.433,2129.754,1992.944,18.664,82.67,402.581,F1
55.04,72.391,74.286,90.901,49.657,1.34,2055.866,1963.555,17.695,81.274,388.284,F1
70.862,73.443,69.194,58.451,53.609,0.034,2.248,2.228,0,74.184,2.135,F1
54.932,72.286,75.241,89.863,49.096,1.64,2265.18,2110.514,20.903,87.074,429.794,F1
55.363,73.022,75.878,89.443,48.367,1.696,2323.139,2164.116,20.613,88.041,443.821,F1
55.04,69.868,70.679,90.032,55.935,0.511,848.801,1173.8,5.512,70.747,42.621,F1
71.615,73.232,70.679,75.784,50.694,0.034,2.248,2.228,0,73.433,0.798,F1
54.825,72.391,75.453,89.106,48.087,1.71,2299.245,2160.524,20.898,87.611,435.658,F1
71.938,73.232,71.422,78.336,50.385,0.034,2.248,2.228,0,73.11,2.133,F1
55.255,73.022,75.984,89.555,48.479,1.697,2335.1,2176.713,21.215,88.363,451.322,F1
51.811,69.763,71.315,84.591,52.515,0.657,1088.744,1341.436,9.422,75.581,3.183,F1
71.508,73.127,70.042,60.106,51.815,0.035,2.248,2.228,0,73.433,1.286,F1
55.901,70.604,71.315,90.649,54.926,0.501,844.508,1170.68,5.2,71.821,53.296,F1
72.046,73.127,71.422,77.972,50.189,0.034,2.248,2.228,0,73.218,2.104,F1
72.046,73.337,71.315,78.364,50.049,0.034,2.248,2.228,0,73.218,2.028,F1
55.148,72.391,75.347,90.228,49.32,1.716,2312.894,2124.748,20.865,87.934,443.665,F1
71.4,73.232,70.042,57.105,52.291,0.034,2.248,2.228,0,73.433,0.73,F1
55.255,74.073,74.817,90.873,48.592,0.873,1523.594,1590.207,13.26,77.944,233.574,F1
71.508,73.232,70.254,65.014,51.955,0.034,2.248,0.462,0,73.54,0.688,F1
55.04,72.286,75.241,90.06,49.124,1.648,2287.313,2119.405,20.849,87.182,443.137,F1
70.109,73.127,68.557,60.807,54.085,0.035,2.248,2.228,0,74.829,1.461,F1
55.04,73.653,74.604,91.266,48.732,0.939,1619.373,1656.868,13.632,77.729,256.641,F1
55.148,71.445,73.968,91.322,52.095,1.001,1755.2,1725.85,15.063,86.215,301.56,F1
68.064,73.653,73.968,83.16,58.569,0.998,1999.077,1795.609,0,75.688,218.24,F1
55.363,70.078,70.891,89.387,55.823,0.52,840.219,1158.203,5.791,71.069,61.473,F1
55.148,71.76,73.65,91.883,51.142,0.898,1553.808,1614.522,12.15,84.711,236.533,F1
55.04,72.391,75.453,89.835,48.479,1.654,2290.721,2128.313,20.686,87.934,444.193,F1
55.148,72.707,75.771,89.415,48.311,1.762,2353.915,2176.713,21.208,88.149,454.207,F1
71.615,73.337,70.573,75.055,50.806,0.034,2.248,2.228,0,73.325,2.123,F1
67.956,73.232,67.39,66.108,53.216,0.034,2.248,2.228,0,76.548,3.137,F1
70.109,74.073,72.058,73.989,52.543,0.177,850.232,774.391,0,73.433,0.511,F1
70.216,73.127,68.557,60.611,54.057,0.034,2.248,2.228,0,74.722,1.549,F1
53.426,70.078,71.103,91.182,52.151,0.555,884.709,1187.845,4.587,73.647,44.954,F1
70.754,73.127,69.087,58.732,54.365,0.035,2.248,2.228,0,74.292,0.631,F1
64.189,73.127,66.647,73.344,48.788,0.034,2.248,2.228,0,79.448,1.859,F1
71.938,73.127,70.997,77.551,50.329,0.034,2.248,2.228,0,73.325,0.292,F1
54.825,72.496,75.453,89.639,48.479,1.666,2285.61,2121.186,20.873,87.934,434.964,F1
71.615,73.022,69.83,56.46,52.712,0.034,2.248,0.462,0,73.755,1.688,F1
71.723,73.337,70.785,76.682,50.694,0.034,2.248,2.228,0,73.325,2.005,F1
71.615,73.127,70.679,75.448,50.834,0.034,2.248,2.228,0,73.218,1.91,F1
55.148,72.391,75.135,90.2,49.376,1.536,2198.99,2068.07,19.587,86.752,414.137,F1
54.932,72.391,74.286,90.621,49.741,1.327,2037.464,1934.336,17.556,81.381,373.086,F1
55.148,72.391,74.286,90.649,49.713,1.347,2060.89,1953.223,17.949,81.489,382.626,F1
72.261,73.443,71.528,78.561,50.189,0.034,2.248,2.228,0,73.54,0.224,F1
71.831,73.127,70.891,76.205,50.385,0.034,2.248,2.228,0,73.325,0.354,F1
71.938,73.443,71.209,77.663,50.161,0.034,2.248,0.462,0,73.218,0.51,F1
55.04,72.496,75.559,89.527,48.087,1.76,2353.915,2171.31,21.328,88.578,455.471,F1
55.148,72.496,74.18,91.013,49.769,1.242,1964.139,1884.866,16.781,80.737,357.361,F1
71.831,73.337,70.891,77.327,50.413,0.033,2.248,2.228,0,73.218,2.007,F1
54.932,72.496,73.862,90.873,49.881,1.101,1848.463,1814.017,15.757,79.34,329.688,F1
71.4,73.127,70.254,59.798,52.6,0.034,2.248,2.228,0,73.54,0.851,F1
54.717,72.601,75.241,89.863,48.031,1.498,2151.667,2041.731,19.072,86.43,401.278,F1
70.647,73.127,68.981,59.153,54.169,0.034,2.248,2.228,0,74.292,0.741,F1
55.148,72.496,74.498,90.452,49.685,1.418,2117.97,1980.822,18.596,82.67,396.14,F1
52.887,69.973,71.952,85.572,53.02,0.855,1438.319,1556.3,14.828,75.903,206.89,F1
54.287,72.286,75.029,89.246,47.835,1.551,2187.143,2071.592,20.094,86,416.812,F1
72.046,73.337,71.528,78.841,50.357,0.034,2.248,2.228,0,73.325,0.393,F1
55.04,72.391,75.347,89.639,49.152,1.682,2285.61,2135.452,20.851,88.041,437.44,F1
70.001,73.232,68.451,61.2,53.973,0.034,2.248,0.462,0,74.936,2.122,F1
71.723,73.022,70.785,76.794,50.89,0.033,2.248,2.228,0,73.325,2.136,F1
71.508,73.127,70.254,71.016,51.815,0.035,2.248,2.228,0,73.433,1.89,F1
71.938,73.337,71.103,76.878,50.357,0.034,2.248,2.228,0,73.325,2.108,F1
54.287,70.393,71.209,88.601,54.393,0.498,840.219,1176.92,6.555,71.606,56.387,F1
70.97,73.232,69.406,58.059,53.328,0.034,2.248,2.228,0,73.97,2.097,F1
71.615,73.443,70.573,73.849,51.114,0.034,2.248,2.228,0,73.325,0.35,F1
55.255,70.288,71.103,90.34,55.066,0.486,800.365,1167.561,5.639,71.284,67.107,F1
72.046,73.337,71.315,78.084,50.273,0.034,2.248,2.228,0,73.325,1.213,F1
62.897,73.337,66.753,75.7,46.321,0.034,2.248,2.228,0,80.092,2.672,F1
54.825,72.496,75.559,89.499,48.031,1.751,2333.391,2174.912,21.284,88.041,445.568,F1
55.148,72.391,74.286,90.621,49.685,1.328,2044.153,1941.196,17.973,81.381,380.166,F1
72.046,73.127,71.315,77.859,50.554,0.034,2.248,2.228,0,73.218,0.354,F1
68.494,73.232,67.602,65.014,53.356,0.034,2.248,3.993,0,76.118,2.194,F1
71.831,73.443,70.997,77.074,50.245,0.033,2.248,2.228,0,73.325,0.368,F1
55.04,73.022,74.286,91.182,49.404,1.027,1753.572,1735.766,14.891,78.696,300.405,F1
55.148,72.707,75.771,89.33,48.367,1.723,2341.939,2160.524,21.149,87.934,453.673,F1
55.04,73.758,74.604,90.985,48.676,0.9,1552.216,1650.337,13.614,77.944,234.457,F1
55.255,72.707,73.862,79.795,47.414,0.034,2.248,12.81,0,84.604,4.725,F1
55.04,72.917,74.286,91.097,49.46,1.02,1766.607,1757.307,14.658,78.696,304.576,F1
71.615,73.127,70.361,73.709,51.619,0.034,2.248,0.462,0,73.433,1.611,F1
55.148,72.286,74.392,90.733,49.853,1.421,2109.559,1967.004,18.293,82.348,398.974,F1
55.363,72.601,75.665,89.078,48.395,1.741,2336.809,2158.728,21.126,87.934,450.933,F1
55.04,72.496,73.968,90.985,49.629,1.103,1856.684,1802.296,15.778,79.448,333.465,F1
71.938,73.232,71.315,77.439,49.937,0.035,2.248,2.228,0,73.218,0.348,F1
71.938,73.232,71.315,78,50.385,0.034,2.248,2.228,0,73.325,1.734,F1
67.203,73.443,67.072,67.51,52.039,0.034,2.248,2.228,0,76.977,1.905,F1
63.651,73.337,66.647,74.438,47.555,0.034,2.248,5.758,0,79.663,2.396,F1
55.04,75.02,74.604,90.004,47.667,0.599,1078.296,1314.684,8.096,73.54,2.881,F1
66.126,73.232,66.753,69.782,51.002,0.034,2.248,2.228,0,77.837,3.432,F1
54.932,72.707,75.665,89.218,47.835,1.771,2352.204,2180.319,21.309,88.471,454.949,F1
55.148,71.445,73.437,92.472,50.722,0.893,1536.302,1638.921,11.899,84.819,227.041,F1
55.148,73.337,74.498,91.574,49.096,0.978,1703.224,1707.711,14.154,78.481,287.041,F1
70.109,73.232,68.557,60.863,54.085,0.034,2.248,2.228,0,74.829,0.795,F1
55.148,72.707,74.074,91.153,49.629,1.078,1828.757,1793.939,15.063,78.803,322.807,F1
69.248,73.232,67.92,63.023,53.889,0.034,2.248,2.228,0,75.581,2.167,F1
55.255,72.917,75.559,90.032,48.199,1.504,2185.451,2055.76,19.346,86.86,414.229,F1
69.14,73.232,67.92,63.275,53.693,0.034,2.248,0.462,0,75.688,1.468,F1
71.938,73.337,71.315,78,50.245,0.034,2.248,2.228,0,73.218,1.293,F1
72.046,73.443,71.422,77.859,50.161,0.034,2.248,2.228,0,73.325,2.139,F1
70.647,73.232,68.981,59.209,54.085,0.034,2.248,2.228,0,74.399,1.647,F1
54.717,69.973,70.785,88.742,55.739,0.491,814.562,1178.481,6.237,71.069,75.144,F1
55.148,72.496,74.286,90.565,49.685,1.306,2029.108,1920.642,17.699,81.059,371.178,F1
55.04,73.653,74.604,91.21,48.704,0.912,1661.203,1668.315,13.598,77.837,265.44,F1
68.386,73.127,67.496,65.239,53.384,0.034,2.248,2.228,0,76.118,1.245,F1
70.216,73.127,68.663,60.499,54.197,0.034,2.248,2.228,0,74.614,0.805,F1
55.04,72.181,75.241,89.499,49.208,1.696,2311.187,2144.391,20.778,87.504,445.203,F1
71.4,73.022,70.148,61.593,52.431,0.034,2.248,2.228,0,73.54,0.795,F1
57.839,72.917,70.785,84.058,41.865,0.034,2.248,9.286,0,83.637,6.655,F1
54.932,72.286,75.135,89.835,49.488,1.522,2227.803,2080.41,19.447,86.322,419.108,F1
72.046,73.337,71.422,77.691,50.357,0.034,2.248,2.228,0,73.325,1.323,F1
71.508,73.232,70.042,59.321,51.927,0.034,2.248,0.462,0,73.433,1,F1
60.852,72.917,67.814,79.654,43.883,0.034,2.248,7.522,0,81.704,4.153,F1
70.862,73.443,69.194,58.395,53.524,0.034,2.248,2.228,0,74.077,1.126,F1
55.04,72.496,74.286,90.452,49.685,1.298,2035.792,1934.336,17.533,81.274,374.6,F1
69.463,73.127,68.133,62.49,54.085,0.034,2.248,2.228,0,75.366,2.138,F1
54.932,72.286,74.18,90.789,49.545,1.354,2069.268,1949.784,17.579,81.274,386.68,F1
71.4,73.232,69.936,56.993,52.403,0.035,2.248,2.228,0,73.647,1.916,F1
54.502,72.707,75.453,89.19,48.087,1.626,2241.383,2096.324,20.496,86.967,425.551,F1
68.171,74.494,72.695,77.859,52.88,0.278,1165.392,1086.541,0,73.325,0.35,F1
54.287,72.391,75.135,89.246,47.835,1.591,2226.106,2089.244,20.22,86.215,421.941,F1
55.148,72.496,73.968,91.013,49.741,1.146,1861.62,1824.084,15.839,79.448,334.494,F1
54.932,72.601,73.968,90.957,49.573,1.119,1848.463,1807.316,15.682,79.448,330.332,F1
55.148,72.286,75.347,89.695,49.46,1.649,2292.426,2124.748,20.656,87.934,438.99,F1
72.046,73.337,71.315,78.364,50.021,0.034,2.248,2.228,0,73.218,1.902,F1
71.508,72.917,69.936,56.292,52.796,0.035,2.248,2.228,0,73.647,2.348,F1
55.255,72.812,71.74,89.919,52.207,0.506,864.57,1170.68,5.846,70.962,25.472,F1
55.04,72.812,75.878,89.359,47.947,1.776,2365.901,2182.123,21.569,88.578,461.921,F1
71.293,73.337,69.936,56.6,52.572,0.034,2.248,2.228,0,73.54,1.967,F1
68.494,73.443,67.496,64.93,53.3,0.034,1.126,2.228,0,76.118,2.363,F1
71.615,73.232,69.936,57.049,52.263,0.034,2.248,2.228,0,73.647,1.997,F1
54.394,71.129,73.331,92.444,50.357,0.88,1491.906,1604.786,11.809,84.604,225.043,F1
55.04,72.286,74.286,90.536,49.797,1.331,2042.48,1941.196,18.042,81.596,381.005,F1
